iter	Passed	Remaining
639	1410329	793310
640	1412507	791092
641	1414832	788956
642	1416843	786645
643	1418489	784133
644	1420851	782018
645	1423061	779820
646	1424701	777310
647	1427021	775172
648	1428725	772700
649	1431056	770569
650	1433683	768595
651	1435789	766341
652	1438308	764307
653	1440474	762085
654	1442836	759967
655	1444780	757628
656	1446801	755331
657	1448662	752952
658	1450745	750689
659	1452630	748324
660	1455262	746344
661	1457163	743989
662	1459580	741898
663	1462123	739869
664	1464115	737561
665	1466205	735304
666	1468394	733096
667	1470443	730819
668	1472140	728368
669	1474024	726011
670	1476323	723860
671	1478386	721593
672	1480453	719328
673	1482353	716984
674	1484434	714727
675	1486767	712592
676	1489232	710520
677	1491349	708280
678	1493796	706198
679	1495906	703956
680	1498426	701906
681	1500866	699817
682	1503185	697671
683	1505325	695442
684	1506967	692985
685	1509127	690766
686	1511147	688485
687	1513313	686270
688	1515597	684108
689	1517335	681701
690	1519410	679446
691	1521378	677145
692	1523979	675125
693	1526273	672967
694	1528815	670919
695	1531156	668781
696	1532750	666317
697	1534851	664076
698	1536619	661691
699	1538674	659431
700	1541059	657313
701	1543106	655051
702	1545407	652896
703	1547871	650809
704	1549435	648345
705	1551802	646218
706	1554261	644128
707	1556260	641847
708	1558169	639530
709	1560465	637373
710	1562476	635099
711	1565362	633180
712	1567033	630769
713	1568891	628435
714	1571132	626255
715	1573029	623939
716	1575098	621691
717	1577137	619432
718	1579615	617346
719	1581844	615161
720	1583852	612891
721	1586072	610703
722	1588255	608501
723	1590250	606228
724	1592276	603967
725	1594313	601710
726	1596270	599424
727	1598055	597075
728	1599966	594775
729	1602265	592618
730	1604394	590399
731	1606347	588116
732	1608854	586035
733	1610892	583784
734	1613325	581675
735	1615634	579521
736	1617548	577225
737	1620265	575216
738	1621948	572839
739	1624148	570646
740	1626423	568480
741	1628205	566141
742	1630407	563949
743	1632612	561759
744	1634941	559610
745	1636814	557306
746	1639241	555191
747	1641423	552992
748	1643557	550778
749	1645925	548641
750	1647550	546258
751	1649393	543948
752	1651661	541780
753	1653961	539621
754	1656049	537393
755	1658168	535176
756	1660134	532909
757	1662229	530685
758	1664693	528578
